Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1961","1961","t","82500","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1962","1962","t","93750","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1963","1963","t","100000","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1964","1964","t","100406","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1965","1965","t","110780","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1966","1966","t","117459","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1967","1967","t","128016","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1968","1968","t","140249","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1969","1969","t","143852","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1970","1970","t","153173","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1971","1971","t","161527","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1972","1972","t","182924","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1973","1973","t","125355","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1974","1974","t","134378","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1975","1975","t","145837","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1976","1976","t","139674","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1977","1977","t","139520","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1978","1978","t","128221","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1979","1979","t","132206","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1980","1980","t","133956","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1981","1981","t","135638","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","1982","1982","t","141542","A","Official figure",""
